Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
  Verify the Date End  with Blank Space,RR-66,10105,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 6:25 AM,09/Sep/21 5:36 AM,09/Sep/21 6:06 AM,07/Sep/21 8:46 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-41,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000kf:,,RR Sprint 1,,,,,,,,Done
 Verify   Date End  box with proper format,RR-65,10104,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 6:19 AM,09/Sep/21 5:36 AM,09/Sep/21 6:06 AM,07/Sep/21 8:46 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-40,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000k7:,,RR Sprint 1,,,,,,,,Done
  Verify Date End  box with calendar icon,RR-64,10103,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 6:18 AM,09/Sep/21 5:28 AM,09/Sep/21 6:06 AM,07/Sep/21 8:46 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-39,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000jz:,,RR Sprint 1,,,,,,,,Done
 Check for Date End functionalities for Shipping module,RR-63,10102,Story,Blocked,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 5:28 AM,08/Sep/21 8:09 AM,09/Sep/21 6:06 AM,,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,;07/Sep/21 9:06 AM;ug:30e985a9-36dc-4df9-805a-ba8b9991322d;2400,2400,0,2400,100%,2400,0,2400,,,RR-38,RR-64,RR-65,RR-66,RR-67,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000e:zy,,RR Sprint 1,,,,,,,,In Progress
 Verify the Date Start functionality with manual input,RR-62,10101,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 5:08 AM,09/Sep/21 5:37 AM,09/Sep/21 6:06 AM,07/Sep/21 8:46 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-42,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000jj:,,RR Sprint 1,,,,,,,,Done
 Verify the Date Start  with Blank Space,RR-61,10100,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 4:00 AM,09/Sep/21 5:29 AM,09/Sep/21 6:06 AM,07/Sep/21 8:46 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-37,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000jb:,,RR Sprint 1,,,,,,,,Done
 Verify Date Start  box with proper format,RR-60,10099,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 3:59 AM,09/Sep/21 5:39 AM,09/Sep/21 6:06 AM,07/Sep/21 8:46 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-36,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000j3:,,RR Sprint 1,,,,,,,,Done
 Verify Date Start  box with calendar icon,RR-59,10098,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 3:57 AM,09/Sep/21 5:28 AM,09/Sep/21 6:07 AM,07/Sep/21 8:46 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-35,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000iv:,,RR Sprint 1,,,,,,,,Done
 Check for Date Start functionalities for Shipping module,RR-58,10097,Story,Blocked,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 3:47 AM,08/Sep/21 8:10 AM,09/Sep/21 6:07 AM,,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,;07/Sep/21 9:05 AM;ug:30e985a9-36dc-4df9-805a-ba8b9991322d;2400,2400,0,2400,100%,2400,0,2400,,,RR-6,RR-59,RR-60,RR-61,RR-62,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000e:zx,,RR Sprint 1,,,,,,,,In Progress
  Verify the pagination ,RR-56,10095,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,03/Sep/21 11:52 AM,09/Sep/21 5:42 AM,09/Sep/21 6:07 AM,07/Sep/21 8:46 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-33,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000if:,,RR Sprint 1,,,,,,,,Done
